Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Phase
BHARAT RASHTRA SAMITHI,2022-07-11,75000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
BIJU JANATA DAL,2022-07-11,70000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
DMK PARTY IN PARLIAMENT,2022-07-11,250000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-07-11,350000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
TELUGU DESAM PARTY,2022-07-11,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
ALL INDIA TRINAMOOL CONGRESS,2022-07-12,445000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
BHARTIYA JANTA PARTY,2022-07-12,125000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-07-12,5000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
BHARAT RASHTRA SAMITHI,2022-07-13,80000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
BIJU JANATA DAL,2022-07-13,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
ALL INDIA TRINAMOOL CONGRESS,2022-07-14,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
BHARAT RASHTRA SAMITHI,2022-07-16,125000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-07-19,70000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",21
AAM AADMI PARTY,2022-10-10,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
BHARAT RASHTRA SAMITHI,2022-10-10,250000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-10-10,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
ALL INDIA TRINAMOOL CONGRESS,2022-10-11,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
BHARAT RASHTRA SAMITHI,2022-10-11,300000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
BHARTIYA JANTA PARTY,2022-10-11,790000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
BIJU JANATA DAL,2022-10-11,350000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
AAM AADMI PARTY,2022-10-12,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
ALL INDIA TRINAMOOL CONGRESS,2022-10-12,500000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
DMK PARTY IN PARLIAMENT,2022-10-12,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-10-12,52000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
ALL INDIA TRINAMOOL CONGRESS,2022-10-13,300000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
SIKKIM KRANTIKARI MORCHA,2022-10-13,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
TELUGU DESAM PARTY,2022-10-13,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-10-13,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
AAM AADMI PARTY,2022-10-14,76000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
ALL INDIA TRINAMOOL CONGRESS,2022-10-14,200000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-10-14,130000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
AAM AADMI PARTY,2022-10-15,69500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
ALL INDIA TRINAMOOL CONGRESS,2022-10-15,331000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
BHARTIYA JANTA PARTY,2022-10-15,1000000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
BHARTIYA JANTA PARTY,2022-10-18,125000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-10-18,40000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
AAM AADMI PARTY,2022-10-20,64000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
JANASENA PARTY,2022-10-20,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
AAM AADMI PARTY,2022-10-21,5000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
BHARTIYA JANTA PARTY,2022-10-21,310000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",22
AAM AADMI PARTY,2022-11-14,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
BHARTIYA JANTA PARTY,2022-11-14,2000000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-14,4000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
BHARTIYA JANTA PARTY,2022-11-16,2017500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-16,170000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-17,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
BHARTIYA JANTA PARTY,2022-11-18,1875999000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-18,103100000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-11-18,120000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
AAM AADMI PARTY,2022-11-19,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
AAM AADMI PARTY,2022-11-21,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
BHARTIYA JANTA PARTY,2022-11-21,135000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-22,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-23,22000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-11-23,40000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-24,15000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-11-28,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",23
AAM AADMI PARTY,2022-12-09,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-12-12,200000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-12-13,80000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
AAM AADMI PARTY,2022-12-14,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
ALL INDIA TRINAMOOL CONGRESS,2022-12-14,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
BHARTIYA JANTA PARTY,2022-12-14,1090000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
AAM AADMI PARTY,2022-12-15,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
ALL INDIA TRINAMOOL CONGRESS,2022-12-15,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
AAM AADMI PARTY,2022-12-16,31000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
BHARTIYA JANTA PARTY,2022-12-16,490000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2022-12-16,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
AAM AADMI PARTY,2022-12-17,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
ALL INDIA TRINAMOOL CONGRESS,2022-12-19,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
BHARTIYA JANTA PARTY,2022-12-19,70000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-12-20,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",24
TELUGU DESAM PARTY,2023-01-24,60000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
ALL INDIA TRINAMOOL CONGRESS,2023-01-27,200000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-01-27,9100000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
ALL INDIA TRINAMOOL CONGRESS,2023-01-30,405000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
BHARTIYA JANTA PARTY,2023-01-30,1000000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
BHARAT RASHTRA SAMITHI,2023-01-31,500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
TELUGU DESAM PARTY,2023-01-31,130000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
ALL INDIA TRINAMOOL CONGRESS,2023-02-01,200000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
BHARTIYA JANTA PARTY,2023-02-01,370000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
BIJU JANATA DAL,2023-02-01,70000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
JHARKHAND MUKTI MORCHA,2023-02-01,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
TELUGU DESAM PARTY,2023-02-01,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
SIKKIM KRANTIKARI MORCHA,2023-02-02,25000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
BHARTIYA JANTA PARTY,2023-02-04,216000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
BHARTIYA JANTA PARTY,2023-02-07,342000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
SIKKIM KRANTIKARI MORCHA,2023-02-07,30000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",25
BHARAT RASHTRA SAMITHI,2023-04-06,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-06,60000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
DMK PARTY IN PARLIAMENT,2023-04-10,400000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-10,722500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-11,130000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
TELUGU DESAM PARTY,2023-04-11,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2023-04-11,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BHARTIYA JANTA PARTY,2023-04-12,1770000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
ALL INDIA TRINAMOOL CONGRESS,2023-04-13,702000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BHARAT RASHTRA SAMITHI,2023-04-13,300000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
JHARKHAND MUKTI MORCHA,2023-04-13,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2023-04-13,15000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-13,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
TELUGU DESAM PARTY,2023-04-13,50000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BHARAT RASHTRA SAMITHI,2023-04-15,151000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BIJU JANATA DAL,2023-04-15,150000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
JANASENA PARTY,2023-04-15,20000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2023-04-15,250000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
ALL INDIA TRINAMOOL CONGRESS,2023-04-17,118500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BHARAT RASHTRA SAMITHI,2023-04-17,350000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BHARTIYA JANTA PARTY,2023-04-17,1430450000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
JANATA DAL ( SECULAR ),2023-04-17,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-17,770000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
TELUGU DESAM PARTY,2023-04-17,250000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
ALL INDIA TRINAMOOL CONGRESS,2023-04-18,221500000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BHARAT RASHTRA SAMITHI,2023-04-18,10000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BHARTIYA JANTA PARTY,2023-04-18,100000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
JANATA DAL ( SECULAR ),2023-04-18,400000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
ALL INDIA TRINAMOOL CONGRESS,2023-04-19,633000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
ALL INDIA TRINAMOOL CONGRESS,2023-04-20,175000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-04-20,123000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
ALL INDIA TRINAMOOL CONGRESS,2023-04-21,19000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BHARTIYA JANTA PARTY,2023-04-24,42000000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
ALL INDIA TRINAMOOL CONGRESS,2023-04-26,550000,"Himachal Gujarat, Tripura, Meghalaya, Nagaland, Karnataka",26
BIJU JANATA DAL,2023-07-07,500000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARTIYA JANTA PARTY,2023-07-10,100000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-07-10,5000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
TELUGU DESAM PARTY,2023-07-10,5000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
AAM AADMI PARTY,2023-07-11,50000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
ALL INDIA TRINAMOOL CONGRESS,2023-07-11,450000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BIJU JANATA DAL,2023-07-11,75000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
ALL INDIA TRINAMOOL CONGRESS,2023-07-12,200000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARTIYA JANTA PARTY,2023-07-12,395000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2023-07-12,5000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
ALL INDIA TRINAMOOL CONGRESS,2023-07-13,420000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARAT RASHTRA SAMITHI,2023-07-13,2240000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BIJU JANATA DAL,2023-07-13,840000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-07-13,100000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
TELUGU DESAM PARTY,2023-07-13,20000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
ALL INDIA TRINAMOOL CONGRESS,2023-07-14,80000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARAT RASHTRA SAMITHI,2023-07-14,247200000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-07-14,100000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
TELUGU DESAM PARTY,2023-07-14,2500000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
AAM AADMI PARTY,2023-07-15,50000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARAT RASHTRA SAMITHI,2023-07-15,210000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARTIYA JANTA PARTY,2023-07-15,269900000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BIJU JANATA DAL,2023-07-15,140000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARAT RASHTRA SAMITHI,2023-07-17,187000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,2023-07-17,250000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARAT RASHTRA SAMITHI,2023-07-18,250000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
RASHTRIYA JANTA DAL,2023-07-18,10000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
RASTRIYA JANTA DAL,2023-07-18,197000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
ALL INDIA TRINAMOOL CONGRESS,2023-07-19,20000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
RASTRIYA JANTA DAL,2023-07-19,93000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARTIYA JANTA PARTY,2023-07-20,104400000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
SIKKIM KRANTIKARI MORCHA,2023-07-20,80000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARAT RASHTRA SAMITHI,2023-07-24,10000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARTIYA JANTA PARTY,2023-07-24,1000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
JHARKHAND MUKTI MORCHA,2023-07-24,50000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
BHARAT RASHTRA SAMITHI,2023-07-25,40000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
SHIVSENA (POLITICAL PARTY),2023-07-25,330000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
AAM AADMI PARTY,2023-07-26,1500000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",27
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-05,150000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-06,560000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARAT RASHTRA SAMITHI,2023-10-07,100000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-07,100000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
ALL INDIA TRINAMOOL CONGRESS,2023-10-09,690000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-09,600000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-10,1279300000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARAT RASHTRA SAMITHI,2023-10-12,125000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARTIYA JANTA PARTY,2023-10-12,100000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-12,250000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
ALL INDIA TRINAMOOL CONGRESS,2023-10-13,94500000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARAT RASHTRA SAMITHI,2023-10-13,110000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARTIYA JANTA PARTY,2023-10-13,1975000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-13,649800000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
TELUGU DESAM PARTY,2023-10-13,108800000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
ALL INDIA TRINAMOOL CONGRESS,2023-10-16,505500000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARAT RASHTRA SAMITHI,2023-10-16,330000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARTIYA JANTA PARTY,2023-10-16,654500000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-16,80000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
SIKKIM KRANTIKARI MORCHA,2023-10-16,30000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
ALL INDIA TRINAMOOL CONGRESS,2023-10-17,165188000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
JHARKHAND MUKTI MORCHA,2023-10-17,55000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-17,153000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
SIKKIM KRANTIKARI MORCHA,2023-10-17,150000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
ALL INDIA TRINAMOOL CONGRESS,2023-10-18,94200000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARAT RASHTRA SAMITHI,2023-10-18,60000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BIJU JANATA DAL,2023-10-18,400000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
SHIVSENA (POLITICAL PARTY),2023-10-18,370314000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
TELUGU DESAM PARTY,2023-10-18,2500000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARTIYA JANTA PARTY,2023-10-19,645000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BIJU JANATA DAL,2023-10-19,50000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-19,120000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
RASTRIYA JANTA DAL,2023-10-19,240000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
SHIVSENA (POLITICAL PARTY),2023-10-19,18000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
ALL INDIA TRINAMOOL CONGRESS,2023-10-20,116200000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
RASTRIYA JANTA DAL,2023-10-20,10000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
SHIVSENA (POLITICAL PARTY),2023-10-20,1700000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARTIYA JANTA PARTY,2023-10-21,50000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-21,20000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2023-10-23,7000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
BHARTIYA JANTA PARTY,2023-10-25,1000000,"Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan, Telangana",28
